GB_Accession/TriTrypDB,Species,Strain
Tb08.27P2.190,Trypanosoma brucei brucei,TREU927
Tb08.27P2.210,Trypanosoma brucei brucei,TREU927
Tb08.27P2.230,Trypanosoma brucei brucei,TREU927
Tb08.27P2.310,Trypanosoma brucei brucei,TREU927
Tb08.27P2.340,Trypanosoma brucei brucei,TREU927
Tb08.27P2.370,Trypanosoma brucei brucei,TREU927
Tb08.27P2.380,Trypanosoma brucei brucei,TREU927
Tb08.27P2.480,Trypanosoma brucei brucei,TREU927
Tb08.27P2.490,Trypanosoma brucei brucei,TREU927
Tb08.27P2.510,Trypanosoma brucei brucei,TREU927
Tb08.27P2.530,Trypanosoma brucei brucei,TREU927
Tb08.27P2.550,Trypanosoma brucei brucei,TREU927
Tb08.27P2.580,Trypanosoma brucei brucei,TREU927
Tb08.27P2.610,Trypanosoma brucei brucei,TREU927
Tb08.27P2.620,Trypanosoma brucei brucei,TREU927
Tb08.27P2.630,Trypanosoma brucei brucei,TREU927
Tb08.27P2.640,Trypanosoma brucei brucei,TREU927
Tb08.27P2.650,Trypanosoma brucei brucei,TREU927
Tb08.27P2.660,Trypanosoma brucei brucei,TREU927
Tb08.27P2.680,Trypanosoma brucei brucei,TREU927
Tb09.v4.0054,Trypanosoma brucei brucei,TREU927
Tb09.v4.0056,Trypanosoma brucei brucei,TREU927
Tb09.v4.0063,Trypanosoma brucei brucei,TREU927
Tb09.v4.0068,Trypanosoma brucei brucei,TREU927
Tb09.v4.0069,Trypanosoma brucei brucei,TREU927
Tb09.v4.0072,Trypanosoma brucei brucei,TREU927
Tb09.v4.0074,Trypanosoma brucei brucei,TREU927
Tb09.v4.0075,Trypanosoma brucei brucei,TREU927
Tb09.v4.0076,Trypanosoma brucei brucei,TREU927
Tb09.v4.0078,Trypanosoma brucei brucei,TREU927
Tb09.v4.0079,Trypanosoma brucei brucei,TREU927
Tb09.v4.0081,Trypanosoma brucei brucei,TREU927
Tb09.v4.0084,Trypanosoma brucei brucei,TREU927
Tb09.v4.0085,Trypanosoma brucei brucei,TREU927
Tb09.v4.0087,Trypanosoma brucei brucei,TREU927
Tb09.v4.0089,Trypanosoma brucei brucei,TREU927
Tb09.v4.0091,Trypanosoma brucei brucei,TREU927
Tb09.v4.0092,Trypanosoma brucei brucei,TREU927
Tb09.v4.0093,Trypanosoma brucei brucei,TREU927
Tb09.v4.0096,Trypanosoma brucei brucei,TREU927
Tb09.v4.0098,Trypanosoma brucei brucei,TREU927
Tb09.v4.0099,Trypanosoma brucei brucei,TREU927
Tb09.v4.0103,Trypanosoma brucei brucei,TREU927
Tb09.v4.0111,Trypanosoma brucei brucei,TREU927
Tb09.v4.0112,Trypanosoma brucei brucei,TREU927
Tb09.v4.0116,Trypanosoma brucei brucei,TREU927
Tb09.v4.0118,Trypanosoma brucei brucei,TREU927
Tb09.v4.0120,Trypanosoma brucei brucei,TREU927
Tb09.v4.0121,Trypanosoma brucei brucei,TREU927
Tb09.v4.0125,Trypanosoma brucei brucei,TREU927
Tb09.v4.0126,Trypanosoma brucei brucei,TREU927
Tb09.v4.0127,Trypanosoma brucei brucei,TREU927
Tb09.v4.0129,Trypanosoma brucei brucei,TREU927
Tb09.v4.0131,Trypanosoma brucei brucei,TREU927
Tb09.v4.0133,Trypanosoma brucei brucei,TREU927
Tb09.v4.0139,Trypanosoma brucei brucei,TREU927
Tb09.v4.0141,Trypanosoma brucei brucei,TREU927
Tb09.v4.0143,Trypanosoma brucei brucei,TREU927
Tb09.v4.0144,Trypanosoma brucei brucei,TREU927
Tb09.v4.0156,Trypanosoma brucei brucei,TREU927
Tb09.v4.0158,Trypanosoma brucei brucei,TREU927
Tb09.v4.0163,Trypanosoma brucei brucei,TREU927
Tb09.v4.0164,Trypanosoma brucei brucei,TREU927
Tb09.v4.0168,Trypanosoma brucei brucei,TREU927
Tb09.v4.0169,Trypanosoma brucei brucei,TREU927
Tb09.v4.0173,Trypanosoma brucei brucei,TREU927
Tb09.v4.0174,Trypanosoma brucei brucei,TREU927
Tb09.v4.0175,Trypanosoma brucei brucei,TREU927
Tb09.v4.0176,Trypanosoma brucei brucei,TREU927
Tb09.v4.0178,Trypanosoma brucei brucei,TREU927
Tb09.v4.0179,Trypanosoma brucei brucei,TREU927
Tb09.v4.0180,Trypanosoma brucei brucei,TREU927
Tb09.v4.0182,Trypanosoma brucei brucei,TREU927
Tb09.v4.0183,Trypanosoma brucei brucei,TREU927
Tb09.v4.0184,Trypanosoma brucei brucei,TREU927
Tb09.v4.0187,Trypanosoma brucei brucei,TREU927
Tb09.v4.0190,Trypanosoma brucei brucei,TREU927
Tb09.v4.0194,Trypanosoma brucei brucei,TREU927
Tb09.v4.0196,Trypanosoma brucei brucei,TREU927
Tb09.v4.0197,Trypanosoma brucei brucei,TREU927
Tb09.v4.0198,Trypanosoma brucei brucei,TREU927
Tb09.v4.0199,Trypanosoma brucei brucei,TREU927
Tb09.v4.0200,Trypanosoma brucei brucei,TREU927
Tb09.v4.0203,Trypanosoma brucei brucei,TREU927
Tb09.v4.0204,Trypanosoma brucei brucei,TREU927
Tb09.v4.0207,Trypanosoma brucei brucei,TREU927
Tb09.v4.0208,Trypanosoma brucei brucei,TREU927
Tb10.v4.0055,Trypanosoma brucei brucei,TREU927
Tb10.v4.0060,Trypanosoma brucei brucei,TREU927
Tb10.v4.0061,Trypanosoma brucei brucei,TREU927
Tb10.v4.0063,Trypanosoma brucei brucei,TREU927
Tb10.v4.0064,Trypanosoma brucei brucei,TREU927
Tb10.v4.0067,Trypanosoma brucei brucei,TREU927
Tb10.v4.0068,Trypanosoma brucei brucei,TREU927
Tb10.v4.0071,Trypanosoma brucei brucei,TREU927
Tb10.v4.0072,Trypanosoma brucei brucei,TREU927
Tb10.v4.0073,Trypanosoma brucei brucei,TREU927
Tb10.v4.0075,Trypanosoma brucei brucei,TREU927
Tb10.v4.0076,Trypanosoma brucei brucei,TREU927
Tb10.v4.0077,Trypanosoma brucei brucei,TREU927
Tb10.v4.0081,Trypanosoma brucei brucei,TREU927
Tb10.v4.0084,Trypanosoma brucei brucei,TREU927
Tb10.v4.0085,Trypanosoma brucei brucei,TREU927
Tb10.v4.0086,Trypanosoma brucei brucei,TREU927
Tb10.v4.0087,Trypanosoma brucei brucei,TREU927
Tb10.v4.0091,Trypanosoma brucei brucei,TREU927
Tb10.v4.0092,Trypanosoma brucei brucei,TREU927
Tb10.v4.0093,Trypanosoma brucei brucei,TREU927
Tb10.v4.0097,Trypanosoma brucei brucei,TREU927
Tb10.v4.0098,Trypanosoma brucei brucei,TREU927
Tb10.v4.0108,Trypanosoma brucei brucei,TREU927
Tb10.v4.0109,Trypanosoma brucei brucei,TREU927
Tb10.v4.0111,Trypanosoma brucei brucei,TREU927
Tb10.v4.0112,Trypanosoma brucei brucei,TREU927
Tb10.v4.0113,Trypanosoma brucei brucei,TREU927
Tb10.v4.0114,Trypanosoma brucei brucei,TREU927
Tb10.v4.0116,Trypanosoma brucei brucei,TREU927
Tb10.v4.0118,Trypanosoma brucei brucei,TREU927
Tb10.v4.0119,Trypanosoma brucei brucei,TREU927
Tb10.v4.0120,Trypanosoma brucei brucei,TREU927
Tb10.v4.0121,Trypanosoma brucei brucei,TREU927
Tb10.v4.0123,Trypanosoma brucei brucei,TREU927
Tb10.v4.0124,Trypanosoma brucei brucei,TREU927
Tb10.v4.0125,Trypanosoma brucei brucei,TREU927
Tb10.v4.0127,Trypanosoma brucei brucei,TREU927
Tb10.v4.0133,Trypanosoma brucei brucei,TREU927
Tb10.v4.0140,Trypanosoma brucei brucei,TREU927
Tb10.v4.0146,Trypanosoma brucei brucei,TREU927
Tb10.v4.0147,Trypanosoma brucei brucei,TREU927
Tb10.v4.0148,Trypanosoma brucei brucei,TREU927
Tb10.v4.0149,Trypanosoma brucei brucei,TREU927
Tb10.v4.0151,Trypanosoma brucei brucei,TREU927
Tb10.v4.0154,Trypanosoma brucei brucei,TREU927
Tb10.v4.0157,Trypanosoma brucei brucei,TREU927
Tb10.v4.0160,Trypanosoma brucei brucei,TREU927
Tb10.v4.0161,Trypanosoma brucei brucei,TREU927
Tb10.v4.0162,Trypanosoma brucei brucei,TREU927
Tb10.v4.0164,Trypanosoma brucei brucei,TREU927
Tb10.v4.0166,Trypanosoma brucei brucei,TREU927
Tb10.v4.0167,Trypanosoma brucei brucei,TREU927
Tb10.v4.0169,Trypanosoma brucei brucei,TREU927
Tb10.v4.0170,Trypanosoma brucei brucei,TREU927
Tb10.v4.0172,Trypanosoma brucei brucei,TREU927
Tb10.v4.0173,Trypanosoma brucei brucei,TREU927
Tb10.v4.0175,Trypanosoma brucei brucei,TREU927
Tb10.v4.0176,Trypanosoma brucei brucei,TREU927
Tb10.v4.0177,Trypanosoma brucei brucei,TREU927
Tb10.v4.0179,Trypanosoma brucei brucei,TREU927
Tb10.v4.0180,Trypanosoma brucei brucei,TREU927
Tb10.v4.0183,Trypanosoma brucei brucei,TREU927
Tb10.v4.0184,Trypanosoma brucei brucei,TREU927
Tb10.v4.0190,Trypanosoma brucei brucei,TREU927
Tb10.v4.0191,Trypanosoma brucei brucei,TREU927
Tb10.v4.0192,Trypanosoma brucei brucei,TREU927
Tb10.v4.0193,Trypanosoma brucei brucei,TREU927
Tb10.v4.0198,Trypanosoma brucei brucei,TREU927
Tb10.v4.0204,Trypanosoma brucei brucei,TREU927
Tb10.v4.0206,Trypanosoma brucei brucei,TREU927
Tb10.v4.0207,Trypanosoma brucei brucei,TREU927
Tb10.v4.0208,Trypanosoma brucei brucei,TREU927
Tb10.v4.0216,Trypanosoma brucei brucei,TREU927
Tb10.v4.0222,Trypanosoma brucei brucei,TREU927
Tb10.v4.0225,Trypanosoma brucei brucei,TREU927
Tb10.v4.0227,Trypanosoma brucei brucei,TREU927
Tb10.v4.0229,Trypanosoma brucei brucei,TREU927
Tb10.v4.0231,Trypanosoma brucei brucei,TREU927
Tb10.v4.0232,Trypanosoma brucei brucei,TREU927
Tb10.v4.0233,Trypanosoma brucei brucei,TREU927
Tb10.v4.0235,Trypanosoma brucei brucei,TREU927
Tb10.v4.0236,Trypanosoma brucei brucei,TREU927
Tb10.v4.0237,Trypanosoma brucei brucei,TREU927
Tb10.v4.0238,Trypanosoma brucei brucei,TREU927
Tb10.v4.0239,Trypanosoma brucei brucei,TREU927
Tb10.v4.0242,Trypanosoma brucei brucei,TREU927
Tb10.v4.0243,Trypanosoma brucei brucei,TREU927
Tb10.v4.0251,Trypanosoma brucei brucei,TREU927
Tb10.v4.0252,Trypanosoma brucei brucei,TREU927
Tb10.v4.0254,Trypanosoma brucei brucei,TREU927
Tb10.v4.0256,Trypanosoma brucei brucei,TREU927
Tb10.v4.0260,Trypanosoma brucei brucei,TREU927
Tb10.v4.0264,Trypanosoma brucei brucei,TREU927
Tb11.0040,Trypanosoma brucei brucei,TREU927
Tb11.0090,Trypanosoma brucei brucei,TREU927
Tb11.0240,Trypanosoma brucei brucei,TREU927
Tb11.0250,Trypanosoma brucei brucei,TREU927
Tb11.0490,Trypanosoma brucei brucei,TREU927
Tb11.0500,Trypanosoma brucei brucei,TREU927
Tb11.0580,Trypanosoma brucei brucei,TREU927
Tb11.0600,Trypanosoma brucei brucei,TREU927
Tb11.0650,Trypanosoma brucei brucei,TREU927
Tb11.0690,Trypanosoma brucei brucei,TREU927
Tb11.0720,Trypanosoma brucei brucei,TREU927
Tb11.0930,Trypanosoma brucei brucei,TREU927
Tb11.0960,Trypanosoma brucei brucei,TREU927
Tb11.0970,Trypanosoma brucei brucei,TREU927
Tb11.1050,Trypanosoma brucei brucei,TREU927
Tb11.1070,Trypanosoma brucei brucei,TREU927
Tb11.1080,Trypanosoma brucei brucei,TREU927
Tb11.1090,Trypanosoma brucei brucei,TREU927
Tb11.1110,Trypanosoma brucei brucei,TREU927
Tb11.1250,Trypanosoma brucei brucei,TREU927
Tb11.1460,Trypanosoma brucei brucei,TREU927
Tb11.1560,Trypanosoma brucei brucei,TREU927
Tb11.1570,Trypanosoma brucei brucei,TREU927
Tb11.1600,Trypanosoma brucei brucei,TREU927
Tb11.1630,Trypanosoma brucei brucei,TREU927
Tb11.1690,Trypanosoma brucei brucei,TREU927
Tb11.1700,Trypanosoma brucei brucei,TREU927
Tb427VSG-0,Trypanosoma brucei brucei,Lister427
Tb427VSG-1,Trypanosoma brucei brucei,Lister427
Tb427VSG-2,Trypanosoma brucei brucei,Lister427
Tb427VSG-3,Trypanosoma brucei brucei,Lister427
Tb427VSG-4,Trypanosoma brucei brucei,Lister427
Tb427VSG-5,Trypanosoma brucei brucei,Lister427
Tb427VSG-6,Trypanosoma brucei brucei,Lister427
Tb427VSG-7,Trypanosoma brucei brucei,Lister427
Tb427VSG-8,Trypanosoma brucei brucei,Lister427
Tb427VSG-9,Trypanosoma brucei brucei,Lister427
Tb427VSG-11,Trypanosoma brucei brucei,Lister427
Tb427VSG-12,Trypanosoma brucei brucei,Lister427
Tb427VSG-13,Trypanosoma brucei brucei,Lister427
Tb427VSG-14,Trypanosoma brucei brucei,Lister427
Tb427VSG-15,Trypanosoma brucei brucei,Lister427
Tb427VSG-16,Trypanosoma brucei brucei,Lister427
Tb427VSG-17,Trypanosoma brucei brucei,Lister427
Tb427VSG-18,Trypanosoma brucei brucei,Lister427
Tb427VSG-19,Trypanosoma brucei brucei,Lister427
Tb427VSG-21,Trypanosoma brucei brucei,Lister427
Tb427VSG-23,Trypanosoma brucei brucei,Lister427
Tb427VSG-24,Trypanosoma brucei brucei,Lister427
Tb427VSG-30,Trypanosoma brucei brucei,Lister427
Tb427VSG-222,Trypanosoma brucei brucei,Lister427
Tb427VSG-25,Trypanosoma brucei brucei,NA
Tb427VSG-31,Trypanosoma brucei brucei,NA
Tb427VSG-299,Trypanosoma brucei brucei,NA
Tb427VSG-301,Trypanosoma brucei brucei,NA
Tb427VSG-303,Trypanosoma brucei brucei,NA
Tb427VSG-304,Trypanosoma brucei brucei,NA
Tb427VSG-305,Trypanosoma brucei brucei,NA
Tb427VSG-306,Trypanosoma brucei brucei,NA
Tb427VSG-307,Trypanosoma brucei brucei,NA
Tb427VSG-308,Trypanosoma brucei brucei,NA
Tb427VSG-309,Trypanosoma brucei brucei,NA
Tb427VSG-310,Trypanosoma brucei brucei,NA
Tb427VSG-311,Trypanosoma brucei brucei,NA
Tb427VSG-312,Trypanosoma brucei brucei,NA
Tb427VSG-313,Trypanosoma brucei brucei,NA
Tb427VSG-314,Trypanosoma brucei brucei,NA
Tb427VSG-315,Trypanosoma brucei brucei,NA
Tb427VSG-316,Trypanosoma brucei brucei,NA
Tb427VSG-317,Trypanosoma brucei brucei,NA
Tb427VSG-318,Trypanosoma brucei brucei,NA
Tb427VSG-319,Trypanosoma brucei brucei,NA
Tb427VSG-320,Trypanosoma brucei brucei,NA
Tb427VSG-321,Trypanosoma brucei brucei,NA
Tb427VSG-322,Trypanosoma brucei brucei,NA
Tb427VSG-323,Trypanosoma brucei brucei,NA
Tb427VSG-324,Trypanosoma brucei brucei,NA
Tb427VSG-325,Trypanosoma brucei brucei,NA
Tb427VSG-326,Trypanosoma brucei brucei,NA
Tb427VSG-327,Trypanosoma brucei brucei,NA
Tb427VSG-328,Trypanosoma brucei brucei,NA
Tb427VSG-329,Trypanosoma brucei brucei,NA
Tb427VSG-330,Trypanosoma brucei brucei,NA
Tb427VSG-331,Trypanosoma brucei brucei,NA
Tb427VSG-332,Trypanosoma brucei brucei,NA
Tb427VSG-333,Trypanosoma brucei brucei,NA
Tb427VSG-334,Trypanosoma brucei brucei,NA
Tb427VSG-335,Trypanosoma brucei brucei,NA
Tb427VSG-336,Trypanosoma brucei brucei,NA
Tb427VSG-337,Trypanosoma brucei brucei,NA
Tb427VSG-338,Trypanosoma brucei brucei,NA
Tb427VSG-339,Trypanosoma brucei brucei,NA
Tb427VSG-340,Trypanosoma brucei brucei,NA
Tb427VSG-341,Trypanosoma brucei brucei,NA
Tb427VSG-342,Trypanosoma brucei brucei,NA
Tb427VSG-343,Trypanosoma brucei brucei,NA
Tb427VSG-344,Trypanosoma brucei brucei,NA
Tb427VSG-345,Trypanosoma brucei brucei,NA
Tb427VSG-346,Trypanosoma brucei brucei,NA
Tb427VSG-347,Trypanosoma brucei brucei,NA
Tb427VSG-348,Trypanosoma brucei brucei,NA
Tb427VSG-349,Trypanosoma brucei brucei,NA
Tb427VSG-350,Trypanosoma brucei brucei,NA
Tb427VSG-351,Trypanosoma brucei brucei,NA
Tb427VSG-352,Trypanosoma brucei brucei,NA
Tb427VSG-353,Trypanosoma brucei brucei,NA
Tb427VSG-354,Trypanosoma brucei brucei,NA
Tb427VSG-355,Trypanosoma brucei brucei,NA
Tb427VSG-356,Trypanosoma brucei brucei,NA
Tb427VSG-357,Trypanosoma brucei brucei,NA
Tb427VSG-358,Trypanosoma brucei brucei,NA
Tb427VSG-359,Trypanosoma brucei brucei,NA
Tb427VSG-360,Trypanosoma brucei brucei,NA
Tb427VSG-361,Trypanosoma brucei brucei,NA
Tb427VSG-362,Trypanosoma brucei brucei,NA
Tb427VSG-363,Trypanosoma brucei brucei,NA
Tb427VSG-364,Trypanosoma brucei brucei,NA
Tb427VSG-366,Trypanosoma brucei brucei,NA
Tb427VSG-367,Trypanosoma brucei brucei,NA
Tb427VSG-368,Trypanosoma brucei brucei,NA
Tb427VSG-369,Trypanosoma brucei brucei,NA
Tb427VSG-370,Trypanosoma brucei brucei,NA
Tb427VSG-371,Trypanosoma brucei brucei,NA
Tb427VSG-372,Trypanosoma brucei brucei,NA
Tb427VSG-373,Trypanosoma brucei brucei,NA
Tb427VSG-374,Trypanosoma brucei brucei,NA
Tb427VSG-375,Trypanosoma brucei brucei,NA
Tb427VSG-376,Trypanosoma brucei brucei,NA
Tb427VSG-377,Trypanosoma brucei brucei,NA
Tb427VSG-378,Trypanosoma brucei brucei,NA
Tb427VSG-379,Trypanosoma brucei brucei,NA
Tb427VSG-380,Trypanosoma brucei brucei,NA
Tb427VSG-381,Trypanosoma brucei brucei,NA
Tb427VSG-382,Trypanosoma brucei brucei,NA
Tb427VSG-383,Trypanosoma brucei brucei,NA
Tb427VSG-384,Trypanosoma brucei brucei,NA
Tb427VSG-385,Trypanosoma brucei brucei,NA
Tb427VSG-386,Trypanosoma brucei brucei,NA
Tb427VSG-387,Trypanosoma brucei brucei,NA
Tb427VSG-388,Trypanosoma brucei brucei,NA
Tb427VSG-389,Trypanosoma brucei brucei,NA
Tb427VSG-391,Trypanosoma brucei brucei,NA
Tb427VSG-392,Trypanosoma brucei brucei,NA
Tb427VSG-393,Trypanosoma brucei brucei,NA
Tb427VSG-394,Trypanosoma brucei brucei,NA
Tb427VSG-395,Trypanosoma brucei brucei,NA
Tb427VSG-396,Trypanosoma brucei brucei,NA
Tb427VSG-397,Trypanosoma brucei brucei,NA
Tb427VSG-398,Trypanosoma brucei brucei,NA
Tb427VSG-399,Trypanosoma brucei brucei,NA
Tb427VSG-400,Trypanosoma brucei brucei,NA
Tb427VSG-401,Trypanosoma brucei brucei,NA
Tb427VSG-402,Trypanosoma brucei brucei,NA
Tb427VSG-403,Trypanosoma brucei brucei,NA
Tb427VSG-404,Trypanosoma brucei brucei,NA
Tb427VSG-405,Trypanosoma brucei brucei,NA
Tb427VSG-406,Trypanosoma brucei brucei,NA
Tb427VSG-407,Trypanosoma brucei brucei,NA
Tb427VSG-408,Trypanosoma brucei brucei,NA
Tb427VSG-409,Trypanosoma brucei brucei,NA
Tb427VSG-410,Trypanosoma brucei brucei,NA
Tb427VSG-411,Trypanosoma brucei brucei,NA
Tb427VSG-412,Trypanosoma brucei brucei,NA
Tb427VSG-413,Trypanosoma brucei brucei,NA
Tb427VSG-414,Trypanosoma brucei brucei,NA
Tb427VSG-415,Trypanosoma brucei brucei,NA
Tb427VSG-416,Trypanosoma brucei brucei,NA
Tb427VSG-417,Trypanosoma brucei brucei,NA
Tb427VSG-418,Trypanosoma brucei brucei,NA
Tb427VSG-419,Trypanosoma brucei brucei,NA
Tb427VSG-420,Trypanosoma brucei brucei,NA
Tb427VSG-421,Trypanosoma brucei brucei,NA
Tb427VSG-422,Trypanosoma brucei brucei,NA
Tb427VSG-423,Trypanosoma brucei brucei,NA
Tb427VSG-424,Trypanosoma brucei brucei,NA
Tb427VSG-425,Trypanosoma brucei brucei,NA
Tb427VSG-426,Trypanosoma brucei brucei,NA
Tb427VSG-427,Trypanosoma brucei brucei,NA
Tb427VSG-428,Trypanosoma brucei brucei,NA
Tb427VSG-429,Trypanosoma brucei brucei,NA
Tb427VSG-430,Trypanosoma brucei brucei,NA
Tb427VSG-431,Trypanosoma brucei brucei,NA
Tb427VSG-432,Trypanosoma brucei brucei,NA
Tb427VSG-433,Trypanosoma brucei brucei,NA
Tb427VSG-434,Trypanosoma brucei brucei,NA
Tb427VSG-435,Trypanosoma brucei brucei,NA
Tb427VSG-436,Trypanosoma brucei brucei,NA
Tb427VSG-437,Trypanosoma brucei brucei,NA
Tb427VSG-438,Trypanosoma brucei brucei,NA
Tb427VSG-439,Trypanosoma brucei brucei,NA
Tb427VSG-440,Trypanosoma brucei brucei,NA
Tb427VSG-441,Trypanosoma brucei brucei,NA
Tb427VSG-442,Trypanosoma brucei brucei,NA
Tb427VSG-443,Trypanosoma brucei brucei,NA
Tb427VSG-444,Trypanosoma brucei brucei,NA
Tb427VSG-445,Trypanosoma brucei brucei,NA
Tb427VSG-446,Trypanosoma brucei brucei,NA
Tb427VSG-447,Trypanosoma brucei brucei,NA
Tb427VSG-448,Trypanosoma brucei brucei,NA
Tb427VSG-449,Trypanosoma brucei brucei,NA
Tb427VSG-451,Trypanosoma brucei brucei,NA
Tb427VSG-452,Trypanosoma brucei brucei,NA
Tb427VSG-453,Trypanosoma brucei brucei,NA
Tb427VSG-454,Trypanosoma brucei brucei,NA
Tb427VSG-455,Trypanosoma brucei brucei,NA
Tb427VSG-456,Trypanosoma brucei brucei,NA
Tb427VSG-457,Trypanosoma brucei brucei,NA
Tb427VSG-458,Trypanosoma brucei brucei,NA
Tb427VSG-459,Trypanosoma brucei brucei,NA
Tb427VSG-460,Trypanosoma brucei brucei,NA
Tb427VSG-461,Trypanosoma brucei brucei,NA
Tb427VSG-462,Trypanosoma brucei brucei,NA
Tb427VSG-463,Trypanosoma brucei brucei,NA
Tb427VSG-464,Trypanosoma brucei brucei,NA
Tb427VSG-465,Trypanosoma brucei brucei,NA
Tb427VSG-466,Trypanosoma brucei brucei,NA
Tb427VSG-467,Trypanosoma brucei brucei,NA
Tb427VSG-468,Trypanosoma brucei brucei,NA
Tb427VSG-469,Trypanosoma brucei brucei,NA
Tb427VSG-470,Trypanosoma brucei brucei,NA
Tb427VSG-471,Trypanosoma brucei brucei,NA
Tb427VSG-472,Trypanosoma brucei brucei,NA
Tb427VSG-473,Trypanosoma brucei brucei,NA
Tb427VSG-474,Trypanosoma brucei brucei,NA
Tb427VSG-475,Trypanosoma brucei brucei,NA
Tb427VSG-476,Trypanosoma brucei brucei,NA
Tb427VSG-477,Trypanosoma brucei brucei,NA
Tb427VSG-478,Trypanosoma brucei brucei,NA
Tb427VSG-479,Trypanosoma brucei brucei,NA
Tb427VSG-480,Trypanosoma brucei brucei,NA
Tb427VSG-481,Trypanosoma brucei brucei,NA
Tb427VSG-482,Trypanosoma brucei brucei,NA
Tb427VSG-483,Trypanosoma brucei brucei,NA
Tb427VSG-484,Trypanosoma brucei brucei,NA
Tb427VSG-485,Trypanosoma brucei brucei,NA
Tb427VSG-486,Trypanosoma brucei brucei,NA
Tb427VSG-487,Trypanosoma brucei brucei,NA
Tb427VSG-488,Trypanosoma brucei brucei,NA
Tb427VSG-489,Trypanosoma brucei brucei,NA
Tb427VSG-490,Trypanosoma brucei brucei,NA
Tb427VSG-491,Trypanosoma brucei brucei,NA
Tb427VSG-492,Trypanosoma brucei brucei,NA
Tb427VSG-493,Trypanosoma brucei brucei,NA
Tb427VSG-494,Trypanosoma brucei brucei,NA
Tb427VSG-495,Trypanosoma brucei brucei,NA
Tb427VSG-496,Trypanosoma brucei brucei,NA
Tb427VSG-497,Trypanosoma brucei brucei,NA
Tb427VSG-498,Trypanosoma brucei brucei,NA
Tb427VSG-499,Trypanosoma brucei brucei,NA
Tb427VSG-500,Trypanosoma brucei brucei,NA
Tb427VSG-501,Trypanosoma brucei brucei,NA
Tb427VSG-502,Trypanosoma brucei brucei,NA
Tb427VSG-503,Trypanosoma brucei brucei,NA
Tb427VSG-504,Trypanosoma brucei brucei,NA
Tb427VSG-505,Trypanosoma brucei brucei,NA
Tb427VSG-506,Trypanosoma brucei brucei,NA
Tb427VSG-507,Trypanosoma brucei brucei,NA
Tb427VSG-508,Trypanosoma brucei brucei,NA
Tb427VSG-509,Trypanosoma brucei brucei,NA
Tb427VSG-510,Trypanosoma brucei brucei,NA
Tb427VSG-511,Trypanosoma brucei brucei,NA
Tb427VSG-512,Trypanosoma brucei brucei,NA
Tb427VSG-513,Trypanosoma brucei brucei,NA
Tb427VSG-514,Trypanosoma brucei brucei,NA
Tb427VSG-515,Trypanosoma brucei brucei,NA
Tb427VSG-516,Trypanosoma brucei brucei,NA
Tb427VSG-517,Trypanosoma brucei brucei,NA
Tb427VSG-518,Trypanosoma brucei brucei,NA
Tb427VSG-519,Trypanosoma brucei brucei,NA
Tb427VSG-520,Trypanosoma brucei brucei,NA
Tb427VSG-521,Trypanosoma brucei brucei,NA
Tb427VSG-522,Trypanosoma brucei brucei,NA
Tb427VSG-523,Trypanosoma brucei brucei,NA
Tb427VSG-524,Trypanosoma brucei brucei,NA
Tb427VSG-525,Trypanosoma brucei brucei,NA
Tb427VSG-526,Trypanosoma brucei brucei,NA
Tb427VSG-527,Trypanosoma brucei brucei,NA
Tb427VSG-528,Trypanosoma brucei brucei,NA
Tb427VSG-529,Trypanosoma brucei brucei,NA
Tb427VSG-530,Trypanosoma brucei brucei,NA
Tb427VSG-531,Trypanosoma brucei brucei,NA
Tb427VSG-532,Trypanosoma brucei brucei,NA
Tb427VSG-533,Trypanosoma brucei brucei,NA
Tb427VSG-534,Trypanosoma brucei brucei,NA
Tb427VSG-535,Trypanosoma brucei brucei,NA
Tb427VSG-536,Trypanosoma brucei brucei,NA
Tb427VSG-537,Trypanosoma brucei brucei,NA
Tb427VSG-538,Trypanosoma brucei brucei,NA
Tb427VSG-539,Trypanosoma brucei brucei,NA
Tb427VSG-540,Trypanosoma brucei brucei,NA
Tb427VSG-541,Trypanosoma brucei brucei,NA
Tb427VSG-542,Trypanosoma brucei brucei,NA
Tb427VSG-543,Trypanosoma brucei brucei,NA
Tb427VSG-544,Trypanosoma brucei brucei,NA
Tb427VSG-545,Trypanosoma brucei brucei,NA
Tb427VSG-546,Trypanosoma brucei brucei,NA
Tb427VSG-547,Trypanosoma brucei brucei,NA
Tb427VSG-548,Trypanosoma brucei brucei,NA
Tb427VSG-549,Trypanosoma brucei brucei,NA
Tb427VSG-550,Trypanosoma brucei brucei,NA
Tb427VSG-551,Trypanosoma brucei brucei,NA
Tb427VSG-552,Trypanosoma brucei brucei,NA
Tb427VSG-553,Trypanosoma brucei brucei,NA
Tb427VSG-554,Trypanosoma brucei brucei,NA
Tb427VSG-555,Trypanosoma brucei brucei,NA
Tb427VSG-556,Trypanosoma brucei brucei,NA
Tb427VSG-557,Trypanosoma brucei brucei,NA
Tb427VSG-558,Trypanosoma brucei brucei,NA
Tb427VSG-559,Trypanosoma brucei brucei,NA
Tb427VSG-560,Trypanosoma brucei brucei,NA
Tb427VSG-561,Trypanosoma brucei brucei,NA
Tb427VSG-562,Trypanosoma brucei brucei,NA
Tb427VSG-563,Trypanosoma brucei brucei,NA
Tb427VSG-564,Trypanosoma brucei brucei,NA
